sample,calcite,dolomite,gypsum,silica,clay,other
80823A,0,298,0,0,0,2
71923A,287,0,0,0,0,13
71923B,24,274,0,0,0,2
83123A,2,296,0,0,0,2
PRC,42,0,249,0,0,9
LPSC,272,28,0,0,0,0
LPNS,267,32,0,0,0,1
90423A,297,3,0,0,0,0
,,,,,,
,,,,,,
